💞月光宝盒BOX,#genre#
CCTV-4,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?
CCTV-5,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240246_1/encoder/0/playlist.m3u8?
CCTV-5,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240281_1/encoder/0/playlist.m3u8?
CCTV-5+,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8?
CCTV-6,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8?
CCTV-7,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240248_1/encoder/0/playlist.m3u8?
CCTV-8,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8?
CCTV-9,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240250_1/encoder/0/playlist.m3u8?
CCTV-9,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240478_1/encoder/0/playlist.m3u8?
CCTV-10,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240251_1/encoder/0/playlist.m3u8?
CCTV-11,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240328_1/encoder/0/playlist.m3u8?
CCTV-12,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240252_1/encoder/0/playlist.m3u8?
CCTV-13,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240502_1/encoder/0/playlist.m3u8?
CCTV-14,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240253_1/encoder/0/playlist.m3u8?
CCTV-15,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240329_1/encoder/0/playlist.m3u8?
CCTV-16 4K,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240389_1/encoder/0/playlist.m3u8?
CCTV-16,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240388_1/encoder/0/playlist.m3u8?
CCTV-17,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240326_1/encoder/0/playlist.m3u8?
CGTN,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240365_1/encoder/0/playlist.m3u8?
CGTN法语,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240368_1/encoder/0/playlist.m3u8?
CGTN西班牙,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240367_1/encoder/0/playlist.m3u8?
CGTN阿拉伯,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240369_1/encoder/0/playlist.m3u8?
CGTN俄罗斯,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240370_1/encoder/0/playlist.m3u8?
CETV1,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240302_1/encoder/0/playlist.m3u8?
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
